provider,website,fund_name,region,country,location,organisation_type,provision,investment_term,loans_rate,min_size,max_size,focus,last_updated,status
UK Business Labs,http://www.ukbusinesslabs.co.uk/forums/,Business Support,United Kingdom,,,"For-profit, non-profit",Support,,,,,"On-line forum of small businesses – grouped around various themes and issues; 
a useful way to gather a range of ideas and responses to specific questions or issues ",16 January 2015,Open
Co-operative Enterprise Hub,http://www.co-operative.coop/enterprise-hub/,Business Support,United Kingdom,,,"For-profit, non-profit",Support,,,,,"Consultancy support for start-up or existing co-operative enterprises, funded by the Co-operative Group ",16 January 2015,Open
Enterprise Rockers - ProBeat,http://www.enterpriserockers.co.uk/probeat.php,Business Support,United Kingdom,,,"For-profit, non-profit",Support,,,,,"Various: on-line groups on facebook and LinkedIn, templates and forms via website, in person ",16 January 2015,Open
Organisation for Responsible Business,http://www.orbuk.org.uk/,Business Support,United Kingdom,,,"For-profit, non-profit",Support,,,,,Quality assurance standard for small enterprises focussing on ethics and values – membership directory offers free diagnostic/planning tool: http://www.orbuk.org.uk/ORB-membership-applications.php?action=proceed ,16 January 2015,Open
MentorsMe,http://mentorsme.co.uk/,Business Support,United Kingdom,,,"For-profit, non-profit",Support,,,,,Website profiles various providers of mentoring support – grouped by geographic area or stage of enterprise development ,16 January 2015,Open
BiTC - ProHelp,http://www.bitc.org.uk/programmes/prohelp,Business Support,United Kingdom,,,"For-profit, non-profit",Support,,,,,Various support delivered by professional firms – can be structured around ongoing relationship or specific activity  ,16 January 2015,Open
Mowgli Foundation,http://www.mowgli.org.uk/,Business Support,United Kingdom,,,"For-profit, non-profit",Support,,,,,Various: in-person and on-line groups and forums – also has links to international counterparts to draw upon support from other countries ,16 January 2015,Open
National Enterprise Network,http://www.nationalenterprisenetwork.org/,Business Support,United Kingdom,,,"For-profit, non-profit",Support,,,,,"Various: in-person, group and by phone – NEN is the national body for local enterprise support agencies who offer generic and specialist support at local levels throughout the country ",16 January 2015,Open
Prowess 2.0,http://www.prowess.org.uk/category/starting-and-growing-a-business/support,Business Support,United Kingdom,,,"For-profit, non-profit",Support,,,,,Various: free guides on their website and links to national network of local mentoring support throughout the country and women enterprise networks ,16 January 2015,Open
Mi enterprise,http://www.mienterprise.org.uk/index.html,Business Support,United Kingdom,,,"For-profit, non-profit",Support,,,,,Various – MiEnterprise is structured as a marketing co-operative to support individuals (usually with a disability) into self-employment ,16 January 2015,Open
PRIME,http://www.prime.org.uk/,Business Support,United Kingdom,,,"For-profit, non-profit",Support,,,,,"Various – online materials, networking events and in-person mentors ",16 January 2015,Open
